StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
28568,38942,65615,, ,,,7.96801063,-37.58007344,340.1360544,7.48,-0.178263348,B4V         ,-0.103
28573,38954,65220,, ,,,7.96975478,13.32960571,235.8490566,7.48,0.616829283,G5          ,1.049
28917,39398,66303,, ,,,8.05402804,9.94285026,456.6210046,7.48,-0.817779426,K2          ,1.574
29076,39598,67015,, ,,,8.09213963,-13.57253997,230.9468822,7.48,0.662439482,A0V         ,0.031
29203,39768,67820,, ,,,8.12798871,-47.25490513,215.0537634,7.48,0.817264764,B8IV        ,-0.114
29681,40376,68905,, ,,,8.24417526,1.15738549,139.275766,7.48,1.760622221,A2          ,0.187
30135,40967,70680,, ,,,8.36044618,-40.45481467,432.9004329,7.48,-0.701940101,A2/A3IV     ,0.109
31061,42164,72846,, ,,,8.59585949,19.77119205,142.6533524,7.48,1.70859009,AV          ,0.155
31117,42234,73178,, ,,,8.61099102,-9.71422403,310.5590062,7.48,0.019279358,K0          ,1.138
31972,43303,75608,, ,,,8.8225743,-43.37068161,343.6426117,7.48,-0.200535055,B6V         ,-0.093
32427,43886,73835,, ,,,8.94012733,83.88765997,41.89359028,7.48,4.369262095,F8          ,0.556
33323,45044,78985,, ,,,9.17460288,-26.28687583,414.9377593,7.48,-0.609914787,B3/B4V      ,-0.112
33497,45279,78820,, ,,,9.2283786,65.79683058,88.26125331,7.48,2.751149549,F2          ,0.447
33803,45679,80431,, ,,,9.3121214,-34.0959177,970.8737864,7.48,-2.455813876,M4III       ,1.545
34024,45955,81074,, ,,,9.37244749,-39.38014288,1234.567901,7.48,-2.977574906,K4III       ,1.518
34134,46090,81166,, ,,,9.39857089,-5.36145733,581.3953488,7.48,-1.342357765,K2          ,1.435
34162,46127,81378,, ,,,9.40634702,-29.18072722,377.3584906,7.48,-0.40377063,M1III       ,1.648
34477,46521,82148,, ,,,9.48836115,-33.67252544,311.5264798,7.48,0.012525162,M2/M3III    ,1.634
34694,46804,82394,, ,,,9.53700704,21.85642634,289.8550725,7.48,0.169095475,K0III       ,0.99
36283,48935,86535,, ,,,9.98385184,-3.02153871,117.5088132,7.48,2.1296478,F2          ,0.398
36490,49224,86871,, ,,,10.04711728,49.87844971,395.256917,7.48,-0.504397394,G5III       ,0.953
36509,49246,86884,, ,,,10.05335273,58.09813368,73.6377025,7.48,3.14449885,F8          ,0.583
37519,50601,89638,, ,,,10.33699696,-23.10261412,203.6659878,7.48,0.935407461,G8III       ,0.958
37677,50818,89781,, ,,,10.37620032,42.6165891,127.5510204,7.48,1.951580313,F0          ,0.355
37706,50855,90219,, ,,,10.3847792,-61.26569125,613.4969325,7.48,-1.459061978,K0II/IIICN. ,1.247
37858,51054,90387,, ,,,10.43107887,-13.13277555,91.99632015,7.48,2.66114772,F3/F5V      ,0.398
38876,52427,93164,, ,,,10.71806136,-72.19524684,76.86395081,7.48,3.051386483,F6V         ,0.534
39205,52888,93745,, ,,,10.81677707,-31.05891883,55.5247085,7.48,3.757568564,G2V         ,0.596
39426,53195,94218,, ,,,10.88024051,27.86514335,113.8952164,7.48,2.19747258,F5          ,0.437
39482,53282,94485,, ,,,10.89676596,-43.11745057,177.9359431,7.48,1.228681578,K0III       ,1.064
39699,53595,95025,, ,,,10.96525316,-22.02096147,109.7694841,7.48,2.277591885,F5IV/V      ,0.433
40008,54035,95735,,Gl 411   ,,Lalande 21185,11.0557256,35.98146424,2.54841998,7.48,10.44864499,M2V         ,1.502
40425,54604,97053,, ,,,11.17521891,7.89171957,505.0505051,7.48,-1.036674049,K5          ,1.625
41108,55570,98915,, ,,,11.38251567,-20.62552589,109.5290252,7.48,2.282353888,A7V         ,0.216
41322,55892,99585,, ,,,11.45584686,-24.16971444,961.5384615,7.48,-2.434833304,K4/K5III    ,1.606
42012,56888,101358,, ,,,11.66263142,-34.98201343,584.7953216,7.48,-1.355019448,M0III       ,1.671
42481,57563,102494,, ,,,11.79899733,27.34058324,144.7178003,7.48,1.677390237,G9IVw...    ,0.871
42969,58298,103817,, ,,,11.95513191,-22.53803515,73.96449704,7.48,3.134883458,F6V         ,0.5
43007,58350,103924,, ,,,11.96622454,-65.3221118,1562.5,7.48,-3.48910013,F2II        ,0.509
43056,58416,104021,, ,,,11.97749041,-52.76869125,115.7407407,7.48,2.162568712,A7V         ,0.226
43272,58743,104622,, ,,,12.04816374,12.80743098,109.5290252,7.48,2.282353888,F0          ,0.383
43501,59093,105234,, ,,,12.1182345,-78.74109314,106.0445387,7.48,2.352558464,A9III/IV    ,0.272
43664,59336,105730,, ,,,12.17190863,-19.76986535,265.9574468,7.48,0.355939225,K5III       ,1.494
43671,59348,105771,, ,,,12.17440094,29.06819847,256.4102564,7.48,0.435323035,G9III       ,0.994
43673,59350,105766,, ,,,12.17461999,-24.95885974,277.0083102,7.48,0.26753601,A0/A1V      ,0.092
44294,60231,107485,, ,,,12.35113825,38.02382626,270.2702703,7.48,0.32100862,G9III       ,0.982
44345,60311,107634,, ,,,12.36706725,33.09068207,236.4066194,7.48,0.611701837,K0IIIw...   ,1.04
44719,60839,108499,, ,,,12.47034161,-53.57691724,162.3376623,7.48,1.427903561,K0III       ,1.042
45033,61310,109344,, ,,,12.56088713,44.09640322,53.96654074,7.48,3.819377097,F8          ,0.536
45336,61756,110015,, ,,,12.65673121,-29.53685401,184.1620626,7.48,1.153999148,F3III/IV    ,0.355
45498,62017,110524,, ,,,12.7108449,28.35987572,73.36757153,7.48,3.152479279,F4V         ,0.389
46326,63282,112550,, ,,,12.96777333,-46.42781346,193.0501931,7.48,1.051648799,K1III       ,1.196
46745,63956,113983,, ,,,13.10691612,57.02527474,211.8644068,7.48,0.849709993,G0          ,0.783
46758,63975,113766,, ,,,13.10996246,-46.0338509,130.8900524,7.48,1.895466793,F3/F5V      ,0.405
47342,64845,115538,, ,,,13.2925816,17.29241952,187.6172608,7.48,1.113636045,G5          ,1
49178,67511,120771,, ,,,13.83362425,54.86945751,444.4444444,7.48,-0.759087409,M0          ,1.472
51015,70266,124845,, ,,,14.37716115,-79.71580353,371.7472119,7.48,-0.3712386,M2III       ,1.666
51303,70718,126827,, ,,,14.46298638,3.62142808,242.7184466,7.48,0.55448608,G8III       ,1.118
51487,70998,127215,, ,,,14.52066529,-40.65587667,160,7.48,1.459400087,A1V         ,0.151
51844,71559,128596,, ,,,14.63531468,-12.91055855,59.4530321,7.48,3.609129957,G2V         ,0.651
52373,72348,130446,, ,,,14.79423678,24.09748975,348.4320557,7.48,-0.230590516,K0          ,1.388
53089,73379,132348,, ,,,14.99525375,-36.89119817,202.020202,7.48,0.953025995,K1III       ,1.226
53112,73410,133328,, ,,,15.00227267,67.09047228,369.00369,7.48,-0.355153546,K0          ,1.205
53454,73939,133772,, ,,,15.10950696,-12.90700458,167.5041876,7.48,1.359871656,A0V         ,0.056
54055,74810,136115,, ,,,15.28858353,42.56582027,131.5789474,7.48,1.884067961,A5          ,0.36
54454,75395,136707,, ,,,15.40560568,-52.71555021,819.6721311,7.48,-2.088200847,K3III       ,1.58
54636,75676,138004,, ,,,15.46122045,42.88198399,32.15434084,7.48,4.943801945,G5          ,0.676
54661,75711,137595,, ,,,15.46730399,-33.54514687,833.3333333,7.48,-2.12409377,B2II/III    ,0.021
55502,76943,140037,, ,,,15.71113917,-32.18601154,270.2702703,7.48,0.32100862,B5III       ,-0.053
55600,77092,140700,, ,,,15.74148579,16.51037113,215.9827214,7.48,0.807904955,K5II-III    ,1.51
56006,77708,141898,, ,,,15.86582874,-12.53754436,276.2430939,7.48,0.273542853,F5V         ,0.631
57191,79443,145774,, ,,,16.21269264,-1.72189605,2777.777778,7.48,-4.738487496,B8          ,-0.117
57347,79667,146214,, ,,,16.25923978,-12.68003873,93.6329588,7.48,2.622856263,A1V         ,0.155
57487,79880,146422,, ,,,16.30485209,-46.44978106,342.4657534,7.48,-0.193085743,M3III       ,1.79
57501,79900,148386,, ,,,16.30907023,77.54880756,311.5264798,7.48,0.012525162,K0          ,1.482
57789,80322,147980,, ,,,16.39879587,28.38404327,300.3003003,7.48,0.092221168,K1II-III    ,1.088
59025,82075,151543,, ,,,16.76440311,46.04470786,336.7003367,7.48,-0.156217753,K0          ,1.211
59193,82312,152106,, ,,,16.81817038,48.2353798,99.70089731,7.48,2.486504665,A5          ,0.224
59380,82561,152002,, ,,,16.8756482,-38.43609754,423.7288136,7.48,-0.655439985,B2III       ,0.16
59856,83222,153970,, ,,,17.00804559,45.77863885,43.53504571,7.48,4.285804976,F8          ,0.52
60113,83551,154509,, ,,,17.07561109,31.41136067,151.5151515,7.48,1.577719678,K2          ,0.983
60200,83674,154365,, ,,,17.10152716,-26.58056284,854.7008547,7.48,-2.179070691,G0II        ,0.849
60808,84532,156632,, ,,,17.28167273,39.46811903,72.04610951,7.48,3.191947331,F5          ,0.48
62180,86382,160487,, ,,,17.6514408,27.05066848,112.3595506,7.48,2.226950033,F5          ,0.482
63413,88054,164214,, ,,,17.98422676,23.82859519,452.4886878,7.48,-0.798038632,K5          ,1.64
63585,88297,164438,, ,,,18.03118905,-19.10613785,10000000,7.48,-7.52,B0.5Iab     ,0.249
64036,88906,165787,, ,,,18.14837984,-27.783657,190.4761905,7.48,1.080796517,K0III       ,1.065
64239,89175,167348,, ,,,18.19876768,52.31632129,214.1327623,7.48,0.826584403,K2          ,0.977
64258,89200,165776,, ,,,18.20375883,-63.98681648,322.5806452,7.48,-0.063191531,K2/K3III    ,1.362
64470,89476,168066,, ,,,18.25949183,47.56090592,127.5510204,7.48,1.951580313,F5          ,0.372
64767,89880,168310,, ,,,18.34072296,-31.31628253,118.9060642,7.48,2.103979979,A9V         ,0.248
64812,89941,168852,, ,,,18.351712,20.93481791,414.9377593,7.48,-0.609914787,B9          ,0.056
65200,90454,170541,, ,,,18.45763487,49.81848638,116.4144354,7.48,2.149965819,A3          ,0.271
65943,91448,172137,, ,,,18.65070248,-15.03926357,298.5074627,7.48,0.105224035,M1III       ,1.94
66509,92196,173069,, ,,,18.78968897,-60.37505764,289.8550725,7.48,0.169095475,A0V         ,0.01
66852,92651,175172,, ,,,18.87856855,35.47960442,555.5555556,7.48,-1.243637474,K2          ,1.526
67748,93784,176729,, ,,,19.09939493,-63.74474297,277.0083102,7.48,0.26753601,A0V         ,0.005
68115,94268,179152,, ,,,19.18759864,4.19110362,118.3431953,7.48,2.114283545,G5          ,0.718
68135,94291,179485,, ,,,19.19205907,29.89018279,454.5454545,7.48,-0.807886596,K0          ,1.215
68576,94879,180768,, ,,,19.30829115,-18.69683457,170.6484642,7.48,1.31948808,A7III       ,0.328
68579,94884,181099,, ,,,19.30871452,16.69776238,152.9051988,7.48,1.557888742,Am          ,0.234
68662,94992,181656,, ,,,19.32943068,36.76428459,121.2121212,7.48,2.062269743,F5          ,0.36
69068,95537,182990,, ,,,19.43287091,36.18650834,543.4782609,7.48,-1.195910885,K5          ,1.62
69672,96328,184877,, ,,,19.58540295,34.19986351,121.5066829,7.48,2.056999176,A2          ,0.122
69945,96680,185033,, ,,,19.65532535,-45.42819166,68.82312457,7.48,3.291328071,F3V         ,0.391
70121,96906,186257,, ,,,19.69923127,36.22571935,53.33333333,7.48,3.84500636,F5          ,0.439
70156,96955,185454,,Wo 9664 A,, ,19.70921344,-59.00946588,41.45936982,7.48,4.391886517,G5V         ,0.711
70318,97162,186587,, ,,,19.74910595,10.77515779,429.1845494,7.48,-0.683220395,B2V         ,      
70350,97216,186575,, ,,,19.75787328,-7.01939191,78.74015748,7.48,2.999018605,F8          ,0.549
70742,97730,187943,, ,,,19.86033443,26.22564032,892.8571429,7.48,-2.273909887,B9          ,-0.061
71048,98124,188777,, ,,,19.94267531,8.25595455,512.8205128,7.48,-1.069826943,A0          ,-0.058
71344,98504,189732,, ,,,20.01206113,23.79888759,314.4654088,7.48,-0.0078644,B9          ,-0.128
71380,98548,189782,, ,,,20.01911651,14.80155203,568.1818182,7.48,-1.292436661,K2          ,1.239
71672,98942,190305,, ,,,20.0887588,-29.07933112,87.03220191,7.48,2.781600143,F3V         ,0.465
71901,99228,191068,, ,,,20.14325142,-14.25397413,185.528757,7.48,1.137943826,K0III       ,1.144
72032,99395,191943,, ,,,20.1746796,44.61685584,628.9308176,7.48,-1.513014378,K0          ,1.398
72490,99995,192954,, ,,,20.28604976,15.87269533,362.3188406,7.48,-0.31545459,B9          ,-0.089
72688,100237,193328,, ,,,20.3298513,-0.90709652,141.6430595,7.48,1.724023505,A2          ,0.125
73082,100759,195013,, ,,,20.42854992,60.17757797,211.8644068,7.48,0.849709993,A3          ,0.4
73102,100783,194497,, ,,,20.43394699,-3.86472376,90.57971014,7.48,2.694845367,F5          ,0.484
73492,101297,195534,, ,,,20.53180397,-0.1544312,154.0832049,7.48,1.541223484,G8III       ,1.113
73680,101561,196242,, ,,,20.58363392,32.03459662,307.6923077,7.48,0.039416805,K5          ,1.442
